太平洋戦争のとき、日本を軍事・経済的に包囲した「ABCDライン」の4カ国とは、アメリカ、イギリス、中国とどこの国でしょう？,オランダ,早押しクイズ,カタカナ,,漢字,カタカナ
フランス語で「選び出す」という意味がある、社会の指導的立場に立っている人を何というでしょう？,エリート,早押しクイズ,カタカナ,,人名,生物
「人気のバロメーター」などという時の、「バロメーター」とは、本来何を測る器械でしょう？,気圧,早押しクイズ,漢字,,言葉,アルファベット
313年にローマ皇帝・コンスタンティヌス帝が発した、キリスト教公認令を何というでしょう?,ミラノ勅令,早押しクイズ,,,,
京都・竜安寺の庭園のように、全く水を用いずに石や白砂で「山や水」を表現した、日本庭園の様式を何というでしょう？,枯山水,早押しクイズ,漢字,,,
建築工事を始める前に、その土地の神様をまつり、工事の無事を祈願する儀式を何というでしょう？,地鎮祭,早押しクイズ,漢字,,,
1989年の参議院選挙で土井たか子率いる日本社会党が躍進したことを、当選者に女性が多く含まれていたことから何旋風といったでしょう？,マドンナ旋風,早押しクイズ,,,,
交響曲第五番『運命』といえばベートーベンですが、交響曲第五番『革命』で知られるロシアの作曲家は誰でしょう？,ショスターコービッチ,早押しクイズ,人名,,,
オーストリアの物理学者の名前から付けられた、音速を表す単位といったら何でしょう？,マッハ,早押しクイズ,カタカナ,,,
九州地方で最も面積の大きい県は鹿児島県ですが、東北地方で最も面積の大きい県は何県でしょう？,岩手県,早押しクイズ,漢字,,,
ハンドボールで、宙に跳んで浮いている間にパスを受け、シュートすることを何というでしょう？,スカイプレー,早押しクイズ,カタカナ,,,
昭和47年に『パチンコ』という作品でデビューした、タレントとしても活躍する漫画家は誰でしょう？,蛭子能収（えびす・よしかず）,早押しクイズ,人名,,,
わが国では独占禁止法で制限されている、競争関係にある同種の企業が価格などで競争を回避するために結ぶ協定のことを何というでしょう？,カルテル、企業連合,早押しクイズ,カタカナ,,,
地表面を上空から見下ろすように描いた図を鳥瞰図というのに対し､ 地表から見上げるように描いた図を、両生類に喩えて何というでしょう？,蛙瞰図（あかんず）,早押しクイズ,漢字,,,
相撲で、実力以上の番付にいて苦戦することを「何が高い」というでしょう？,家賃が高い,早押しクイズ,言葉,,,
シャクトリムシはシャクガの幼虫ですが、ミノムシは何という昆虫の幼虫でしょう？,ミノガ,早押しクイズ,生物,,,
ネコ、ネズミ、ノコギリなどの種類のある魚は何でしょう？,サメ,早押しクイズ,生物,,,
これまでに二度映画化された小説「ビルマの竪琴」の作者は誰でしょう？,竹山道雄,早押しクイズ,人名,,,
江戸時代、わらじが非常に安く売られていたことに由来する、数が多くて極めて安いことを意味する四字熟語は何でしょう？,二束三文,早押しクイズ,言葉,,,
人を奮い立たせる、という意味の言葉で、「檄」は「飛ばす」と言いますが、「発破」はどうする、というでしょう？,掛ける,早押しクイズ,言葉,,,
俗にいわれる言葉で、「角（かく）な座敷を丸く掃」いたり、「三杯目にはそっと出し」たりするのは、誰でしょう？,居候（いそうろう）,早押しクイズ,言葉,,,
春です。木偏に春と書く木は「ツバキ（椿）」ですが、魚偏に春と書く魚は何でしょう？,サワラ（鰆）,早押しクイズ,生物,,,
人気兄弟お笑いコンビ・中川家の、兄の名前は中川剛ですが、弟の名前は何というでしょう？,中川礼二,早押しクイズ,人名,,,
草もちの中に入れたり、もぐさの原料として使われる、キク科の植物といえば何でしょう？,よもぎ,早押しクイズ,生物,,,
大学や研究機関において、博士（はかせ）は「Doctor」、修士は「Master」といいますが、学士は英語で何というでしょう？,Bachelor（バチェラー）,早押しクイズ,アルファベット,,,
「Beginner's All-Purpose Symbolic Instruction Code」の頭文字から名付けられた、コンピュータのプログラム言語は何でしょう？,BASIC,早押しクイズ,アルファベット,,,
日本放送協会はアルファベット3文字でＮHKといいますが、イギリス放送協会はアルファベット3文字で何というでしょう？,BBC,早押しクイズ,アルファベット,,,
コンピュータネットワークを利用して、不特定多数のユーザーが読み書きできる電子掲示板システムをアルファベット3文字で何というでしょう？,BBS,早押しクイズ,アルファベット,,,
1912年4月の処女航海の時、ニューファンドランド島沖の氷山に衝突・沈没した豪華客船の名前は何でしょう?,タイタニック号,早押しクイズ,,,,
1913年、ニジンスキーの振付によりパリで初演された、古い宗教儀式を題材としたストラヴィンスキーのバレエ音楽は何でしょう？,『春の祭典』,早押しクイズ,,,,